img_id,pedestrian_id,bbox,keypoints,target
4,6,"[155, 99, 246, 617]","[0.4703439304849978, 0.15391144100803303, 2, 0.5235448321978166, 0.11376132775660161, 2, 0.40004273893591596, 0.12588211666269408, 2, 0.6223465068073365, 0.11679152498312474, 2, 0, 0, 0, 0.8455284552845529, 0.23176661264181522, 2, 0.2926829268292683, 0.24959481361426256, 2, 0.9065040650406504, 0.4181523500810373, 2, 0.2764227642276423, 0.4165316045380875, 2, 0.6666666666666666, 0.4846029173419773, 2, 0.36585365853658536, 0.47487844408427876, 2, 0.7804878048780488, 0.539708265802269, 2, 0.2886178861788618, 0.4991896272285251, 2, 0.4186991869918699, 0.5575364667747164, 2, 0.24390243902439024, 0.5235008103727715, 2]","[0.35772357723577236, 0.8541329011345218]"
5,7,"[207, 124, 519, 842]","[0.28806859161446347, 0.10971698256885234, 2, 0.3205390490643625, 0.08511206163125641, 2, 0.2713865217319464, 0.08639739332202633, 2, 0.4042472925819923, 0.08364311112751932, 2, 0, 0, 0, 0.49903660886319845, 0.12232779097387174, 2, 0.29672447013487474, 0.19714964370546317, 2, 0.3371868978805395, 0.20665083135391923, 2, 0.22736030828516376, 0.3646080760095012, 2, 0.14836223506743737, 0.13182897862232779, 2, 0.019267822736030827, 0.4323040380047506, 1, 0.5992292870905588, 0.47149643705463185, 2, 0.44315992292870904, 0.48931116389548696, 2, 0.7803468208092486, 0.672209026128266, 2, 0.4720616570327553, 0.7173396674584323, 2]","[0.7052023121387283, 0.9049881235154394]"
6,8,"[87, 129, 540, 469]","[0.8042819991406228, 0.30740910799181764, 2, 0.8532884111244058, 0.2871122399646033, 2, 0.8123909737854216, 0.2566669379237817, 2, 0.908993541293022, 0.33501284850882934, 2, 0, 0, 0, 0.9518518518518518, 0.5479744136460555, 2, 0.6944444444444444, 0.3368869936034115, 1, 0.9111111111111111, 0.7761194029850746, 1, 0.45925925925925926, 0.2835820895522388, 2, 0, 0, 0, 0.21481481481481482, 0.14925373134328357, 2, 0.8611111111111112, 0.8123667377398721, 2, 0.6981481481481482, 0.837953091684435, 2, 0.8796296296296297, 0.8933901918976546, 2, 0.6944444444444444, 0.9616204690831557, 1]","[0.7564814814814815, 0.915778251599147]"
7,9,"[136, 251, 417, 737]","[0.6784939586994158, 0.1448571236816625, 2, 0.7008127013848418, 0.11960090739991873, 2, 0.6372042847313778, 0.12465215065626749, 2, 0.7900876721265451, 0.08171658297730298, 2, 0, 0, 0, 0.9160671462829736, 0.17503392130257803, 2, 0.5611510791366906, 0.14789687924016282, 2, 0.9112709832134293, 0.33514246947082765, 2, 0.434052757793765, 0.30257801899592945, 2, 0.7721822541966427, 0.21709633649932158, 2, 0.2422062350119904, 0.4206241519674355, 2, 0.7074340527577938, 0.5210312075983717, 2, 0.4844124700239808, 0.4681139755766621, 2, 0.6714628297362111, 0.7611940298507462, 2, 0.3908872901678657, 0.6255088195386703, 2]","[0.5335731414868106, 0.8962008141112618]"
7,10,"[168, 240, 650, 752]","[0.5851273037790268, 0.12141946515267411, 2, 0.6190730689842328, 0.10674875545627528, 2, 0.5701750024386384, 0.10011200583171397, 2, 0.6518064854321098, 0.14237762186181535, 2, 0.5422909810200766, 0.12316597821176925, 2, 0.6753846153846154, 0.2526595744680851, 2, 0.43846153846153846, 0.21010638297872342, 1, 0.8215384615384616, 0.3324468085106383, 2, 0.2569230769230769, 0.19148936170212766, 2, 0.9076923076923077, 0.29521276595744683, 2, 0.09384615384615384, 0.18085106382978725, 2, 0.536923076923077, 0.598404255319149, 2, 0.40307692307692305, 0.550531914893617, 1, 0.4553846153846154, 0.785904255319149, 2, 0.38461538461538464, 0.7074468085106383, 1]","[0.3392307692307692, 0.8796542553191489]"
8,11,"[43, 188, 419, 523]","[0.7478843892825343, 0.19919215420430736, 2, 0.7922344688320704, 0.18229329094079555, 2, 0.7311178957942951, 0.16019477744235697, 2, 0.8517284779838871, 0.1575949523248936, 2, 0.708402001390874, 0.10776497090684574, 2, 0.8400954653937948, 0.1931166347992352, 2, 0.5632458233890215, 0.18738049713193117, 2, 0.7995226730310262, 0.30592734225621415, 1, 0.360381861575179, 0.27915869980879543, 2, 0.8615751789976134, 0.384321223709369, 2, 0.2649164677804296, 0.3977055449330784, 2, 0.5847255369928401, 0.502868068833652, 2, 0.4200477326968974, 0.497131931166348, 2, 0.8090692124105012, 0.621414913957935, 2, 0.26730310262529833, 0.7074569789674953, 2]","[0.45465393794749404, 0.9292543021032504]"
8,12,"[37, 37, 458, 674]","[0.7730985342318109, 0.16576292870686446, 2, 0.8267958837442297, 0.1559167706525172, 2, 0.7756555508752594, 0.1298534110968921, 2, 0.8881642831869941, 0.1727131579216978, 2, 0, 0, 0, 0.8427947598253275, 0.314540059347181, 2, 0.6681222707423581, 0.09495548961424333, 2, 0.75764192139738, 0.47181008902077154, 2, 0.6397379912663755, 0.04896142433234421, 2, 0.574235807860262, 0.5222551928783383, 2, 0.5611353711790393, 0.032640949554896145, 2, 0.6419213973799127, 0.4406528189910979, 1, 0.43013100436681223, 0.3724035608308605, 2, 0.7183406113537117, 0.6676557863501483, 1, 0.27729257641921395, 0.5192878338278932, 1]","[0.3941048034934498, 0.8086053412462908]"
9,13,"[87, 250, 185, 484]","[0.4780300029237528, 0.13399760536180577, 2, 0.4883135209557435, 0.1117237319385202, 2, 0.3774800488331776, 0.11259721717080598, 2, 0, 0, 0, 0.2300829570413114, 0.13094040704880586, 2, 0.5243243243243243, 0.26239669421487605, 2, 0.2, 0.2706611570247934, 2, 0.5513513513513514, 0.43388429752066116, 2, 0.3837837837837838, 0.4607438016528926, 2, 0.8810810810810811, 0.506198347107438, 1, 0.7243243243243244, 0.5330578512396694, 1, 0.6108108108108108, 0.5619834710743802, 2, 0.4540540540540541, 0.5764462809917356, 2, 1.0162162162162163, 0.628099173553719, 1, 0.8918918918918919, 0.6528925619834711, 1]","[0.8594594594594596, 0.8708677685950412]"
9,14,"[3, 238, 240, 453]","[0.4713125591663021, 0.1574451332067577, 2, 0, 0, 0, 0.44904178309163834, 0.14101069107029818, 2, 0, 0, 0, 0.3623448333724115, 0.15913071701562537, 2, 0.3541666666666667, 0.304635761589404, 2, 0.25416666666666665, 0.3068432671081678, 2, 0.32083333333333336, 0.5253863134657837, 2, 0.30833333333333335, 0.5518763796909493, 2, 0.625, 0.609271523178808, 2, 0.6375, 0.5982339955849889, 2, 0.44166666666666665, 0.6534216335540839, 2, 0.4, 0.673289183222958, 2, 0.9416666666666667, 0.7417218543046358, 1, 0.8291666666666667, 0.7704194260485652, 2]","[0.4833333333333333, 0.934878587196468]"
10,15,"[168, 58, 452, 624]","[0.42355306007355875, 0.162186534082351, 2, 0, 0, 0, 0.4002654479793214, 0.13039572832155416, 2, 0, 0, 0, 0.37787351327332397, 0.11417592946400476, 2, 0.5619469026548672, 0.23397435897435898, 1, 0.3075221238938053, 0.21955128205128205, 2, 0.7345132743362832, 0.2708333333333333, 1, 0.21902654867256638, 0.3557692307692308, 2, 0.8539823008849557, 0.29967948717948717, 1, 0.22787610619469026, 0.4855769230769231, 2, 0.47345132743362833, 0.5689102564102564, 2, 0.37168141592920356, 0.5464743589743589, 2, 0.28982300884955753, 0.7243589743589743, 2, 0.3672566371681416, 0.7019230769230769, 2]","[0.40376106194690264, 0.8798076923076923]"
